title,price,total_price,year,mileage,link
NISSAN Cube,"Price $2,610","Total Price $4,599 C&F Mombasa (RORO)",Year: 2017 / 3,"Mileage: 168,002 km",https://image-cdn.beforward.jp/medium/202406/7948905/BT547272_760d8c.jpg?w=200
SUBARU Legacy Touring Wagon,"Price $2,940","Total Price $5,054 C&F Mombasa (RORO)",Year: 1997 / 6,"Mileage: 25,118 km",https://image-cdn.beforward.jp/medium/202406/7946389/BT547509_b31b3a.jpg?w=200
TOYOTA Mark X,"Price $2,610","Total Price $4,776 C&F Mombasa (RORO)",Year: 2011 / 7,"Mileage: 119,470 km",https://image-cdn.beforward.jp/medium/202406/7916680/BT526878_7372d7.jpg?w=200
NISSAN X-Trail,"Price $5,900","Total Price $8,394 C&F Mombasa (RORO)",Year: 2015 / 3,"Mileage: 96,088 km",https://image-cdn.beforward.jp/medium/202406/7916921/BT527012_afc383.JPG?w=200
NISSAN X-Trail,"Price $5,760","Total Price $8,227 C&F Mombasa (RORO)",Year: 2016 / 10,"Mileage: 105,037 km",https://image-cdn.beforward.jp/medium/202406/7923528/BT533691_b3ecb8.jpg?w=200
MERCEDES-BENZ M-Class,"Price $7,640","Total Price $10,314 C&F Mombasa (RORO)",Year: 2010 / 6,"Mileage: 114,306 km",https://image-cdn.beforward.jp/medium/202406/7944397/BT544060_edad65.jpg?w=200
VOLKSWAGEN Polo,"Price $2,340","Total Price $4,203 C&F Mombasa (RORO)",Year: 2014 / 7,"Mileage: 157,300 km",https://image-cdn.beforward.jp/medium/202406/7948240/BT547105_5468ca.jpg?w=200
NISSAN Latio,"Price $2,810","Total Price $4,804 C&F Mombasa (RORO)",Year: 2016 / 10,"Mileage: 137,958 km",https://image-cdn.beforward.jp/medium/202406/7949013/BT547245_24c788.jpg?w=200
BMW 1 Series,"Price $3,450","Total Price $5,511 C&F Mombasa (RORO)",Year: 2015 / 12,"Mileage: 77,765 km",https://image-cdn.beforward.jp/medium/202406/7948678/BT547312_da65f3.jpg?w=200
HONDA Vezel,"Price $6,970","Total Price $9,124 C&F Mombasa (RORO)",Year: 2016 / 3,"Mileage: 102,840 km",https://image-cdn.beforward.jp/medium/202406/7960396/BT559557_b98bee.jpg?w=200
TOYOTA Auris,"Price $3,180","Total Price $5,175 C&F Mombasa (RORO)",Year: 2009 / 7,"Mileage: 68,722 km",https://image-cdn.beforward.jp/medium/202406/7959195/BT559639_ea1d15.jpg?w=200
BMW X1,"Price $2,840","Total Price $5,062 C&F Mombasa (RORO)",Year: 2010 / 11,"Mileage: 97,406 km",https://image-cdn.beforward.jp/medium/202406/7923455/BT533667_23e716.jpg?w=200
